symbol,name,market,display_symbol,coingecko_id,raw_symbol,bucket
CG:10x-short-altcoin-index-token,10X Short Altcoin Index Token,crypto,CG:10x-short-altcoin-index-token,10x-short-altcoin-index-token,ALTDOOM,micro_alt
CG:10x-short-bitcoin-cash-token,10X Short Bitcoin Cash Token,crypto,CG:10x-short-bitcoin-cash-token,10x-short-bitcoin-cash-token,BCHDOOM,micro_alt
CG:10x-short-bitcoin-sv-token,10X Short Bitcoin SV Token,crypto,CG:10x-short-bitcoin-sv-token,10x-short-bitcoin-sv-token,BSVDOOM,micro_alt
CG:10x-short-bitcoin-token,10X Short Bitcoin Token,crypto,CG:10x-short-bitcoin-token,10x-short-bitcoin-token,DOOM,micro_alt
CG:10x-short-bnb-token,10X Short BNB Token,crypto,CG:10x-short-bnb-token,10x-short-bnb-token,BNBDOOM,micro_alt
CG:10x-short-eos-token,10X Short EOS Token,crypto,CG:10x-short-eos-token,10x-short-eos-token,EOSDOOM,micro_alt
CG:10x-short-ethereum-classic-token,10X Short Ethereum Classic Token,crypto,CG:10x-short-ethereum-classic-token,10x-short-ethereum-classic-token,ETCDOOM,micro_alt
CG:10x-short-ethereum-token,10X Short Ethereum Token,crypto,CG:10x-short-ethereum-token,10x-short-ethereum-token,ETHDOOM,micro_alt
CG:10x-short-exchange-token-index-token,10X Short Exchange Token Index Token,crypto,CG:10x-short-exchange-token-index-token,10x-short-exchange-token-index-token,EXCHDOOM,micro_alt
CG:10x-short-huobi-token-token,10X Short Huobi Token Token,crypto,CG:10x-short-huobi-token-token,10x-short-huobi-token-token,HTDOOM,micro_alt
CG:10x-short-leo-token,10X Short LEO Token,crypto,CG:10x-short-leo-token,10x-short-leo-token,LEODOOM,micro_alt
CG:10x-short-litecoin-token,10X Short Litecoin Token,crypto,CG:10x-short-litecoin-token,10x-short-litecoin-token,LTCDOOM,micro_alt
CG:10x-short-midcap-index-token,10X Short Midcap Index Token,crypto,CG:10x-short-midcap-index-token,10x-short-midcap-index-token,MIDDOOM,micro_alt
CG:10x-short-okb-token,10X Short OKB Token,crypto,CG:10x-short-okb-token,10x-short-okb-token,OKBDOOM,micro_alt
CG:10x-short-shitcoin-index-token,10X Short Shitcoin Index Token,crypto,CG:10x-short-shitcoin-index-token,10x-short-shitcoin-index-token,DOOMSHIT,micro_alt
CG:10x-short-tether-token,10X Short Tether Token,crypto,CG:10x-short-tether-token,10x-short-tether-token,USDTDOOM,micro_alt
CG:10x-short-trx-token,10X Short TRX Token,crypto,CG:10x-short-trx-token,10x-short-trx-token,TRXDOOM,micro_alt
CG:10x-short-xrp-token,10X Short XRP Token,crypto,CG:10x-short-xrp-token,10x-short-xrp-token,XRPDOOM,micro_alt
CG:12h-ichimoku-ha-ema-breakout-set,12H Ichimoku HA EMA Breakout Set,crypto,CG:12h-ichimoku-ha-ema-breakout-set,12h-ichimoku-ha-ema-breakout-set,ICHIEMA,micro_alt
CG:12ships,12Ships,crypto,CG:12ships,12ships,TSHP,micro_alt
CG:1337,Elite,crypto,CG:1337,1337,1337,micro_alt
CG:1ai,1AI,crypto,CG:1ai,1ai,1AI,micro_alt
CG:1irstcoin,1irstcoin,crypto,CG:1irstcoin,1irstcoin,FST,micro_alt
CG:1life-healthcare-inc,1Life Healthcare Inc,crypto,CG:1life-healthcare-inc,1life-healthcare-inc,ONEM.CX,micro_alt
CG:1million-token,1Million Token,crypto,CG:1million-token,1million-token,1MT,micro_alt
CG:1sg,1SG,crypto,CG:1sg,1sg,1SG,micro_alt
CG:1world,1World,crypto,CG:1world,1world,1WO,micro_alt
CG:1x-long-btc-implied-volatility-token,1x Long BTC Implied Volatility Token,crypto,CG:1x-long-btc-implied-volatility-token,1x-long-btc-implied-volatility-token,BVOL,micro_alt
CG:1x-short-altcoin-index-token,1X Short Altcoin Index Token,crypto,CG:1x-short-altcoin-index-token,1x-short-altcoin-index-token,ALTHEDGE,micro_alt
CG:1x-short-bitcoin-cash-token,1X Short Bitcoin Cash Token,crypto,CG:1x-short-bitcoin-cash-token,1x-short-bitcoin-cash-token,BCHHEDGE,micro_alt
CG:1x-short-bitcoin-sv-token,1X Short Bitcoin SV Token,crypto,CG:1x-short-bitcoin-sv-token,1x-short-bitcoin-sv-token,BSVHEDGE,micro_alt
CG:1x-short-bitcoin-token,1X Short Bitcoin Token,crypto,CG:1x-short-bitcoin-token,1x-short-bitcoin-token,HEDGE,micro_alt
CG:1x-short-btc-implied-volatility,1x Short BTC Implied Volatility Token,crypto,CG:1x-short-btc-implied-volatility,1x-short-btc-implied-volatility,IBVOL,micro_alt
CG:1x-short-eos-token,1X Short EOS Token,crypto,CG:1x-short-eos-token,1x-short-eos-token,EOSHEDGE,micro_alt
CG:1x-short-ethereum-token,1X Short Ethereum Token,crypto,CG:1x-short-ethereum-token,1x-short-ethereum-token,ETHHEDGE,micro_alt
CG:1x-short-litecoin-token,1X Short Litecoin Token,crypto,CG:1x-short-litecoin-token,1x-short-litecoin-token,LTCHEDGE,micro_alt
CG:1x-short-midcap-index-token,1X Short Midcap Index Token,crypto,CG:1x-short-midcap-index-token,1x-short-midcap-index-token,MIDHEDGE,micro_alt
CG:1x-short-shitcoin-index-token,1X Short Shitcoin Index Token,crypto,CG:1x-short-shitcoin-index-token,1x-short-shitcoin-index-token,HEDGESHIT,micro_alt
CG:1x-short-tether-token,1X Short Tether Token,crypto,CG:1x-short-tether-token,1x-short-tether-token,USDTHEDGE,micro_alt
CG:1x2-coin,1X2 Coin,crypto,CG:1x2-coin,1x2-coin,1X2,micro_alt
CG:2-2-4-4-8,2+2=4+4=8,crypto,CG:2-2-4-4-8,2-2-4-4-8,2248,micro_alt
CG:21vianet-group-inc,"21Vianet Group, Inc.",crypto,CG:21vianet-group-inc,21vianet-group-inc,VNET.CX,micro_alt
CG:2345-star-coin,2345 Star Coin,crypto,CG:2345-star-coin,2345-star-coin,STC,micro_alt
CG:2acoin,2ACoin,crypto,CG:2acoin,2acoin,ARMS,micro_alt
CG:2give,2GIVE,crypto,CG:2give,2give,2GIVE,micro_alt
CG:2key,2key.network,crypto,CG:2key,2key,2KEY,micro_alt
CG:2x2,2X2,crypto,CG:2x2,2x2,2X2,micro_alt
CG:300cubits,300cubits,crypto,CG:300cubits,300cubits,TEU,micro_alt
CG:300fit,300FIT,crypto,CG:300fit,300fit,FIT,micro_alt
CG:300token,300 Token,crypto,CG:300token,300token,300,micro_alt
CG:360-tribe,360 Tribe,crypto,CG:360-tribe,360-tribe,TRIBE,micro_alt
CG:3d-chain,3D-Chain,crypto,CG:3d-chain,3d-chain,3DC,micro_alt
CG:3x-long-algorand-token,3X Long Algorand Token,crypto,CG:3x-long-algorand-token,3x-long-algorand-token,ALGOBULL,micro_alt
CG:3x-long-altcoin-index-token,3X Long Altcoin Index Token,crypto,CG:3x-long-altcoin-index-token,3x-long-altcoin-index-token,ALTBULL,micro_alt
CG:3x-long-bilira-token,3X Long BiLira Token,crypto,CG:3x-long-bilira-token,3x-long-bilira-token,TRYBBULL,micro_alt
CG:3x-long-bitcoin-cash-token,3X Long Bitcoin Cash Token,crypto,CG:3x-long-bitcoin-cash-token,3x-long-bitcoin-cash-token,BCHBULL,micro_alt
CG:3x-long-bitcoin-sv-token,3X Long Bitcoin SV Token,crypto,CG:3x-long-bitcoin-sv-token,3x-long-bitcoin-sv-token,BSVBULL,micro_alt
CG:3x-long-bitcoin-token,3X Long Bitcoin Token,crypto,CG:3x-long-bitcoin-token,3x-long-bitcoin-token,BULL,micro_alt
CG:3x-long-bitmax-token-token,3X Long BitMax Token Token,crypto,CG:3x-long-bitmax-token-token,3x-long-bitmax-token-token,BTMXBULL,micro_alt
CG:3x-long-bnb-token,3X Long BNB Token,crypto,CG:3x-long-bnb-token,3x-long-bnb-token,BNBBULL,micro_alt
CG:3x-long-cardano-token,3X Long Cardano Token,crypto,CG:3x-long-cardano-token,3x-long-cardano-token,ADABULL,micro_alt
CG:3x-long-chainlink-token,3X Long Chainlink Token,crypto,CG:3x-long-chainlink-token,3x-long-chainlink-token,LINKBULL,micro_alt
CG:3x-long-cosmos-token,3X Long Cosmos Token,crypto,CG:3x-long-cosmos-token,3x-long-cosmos-token,ATOMBULL,micro_alt
CG:3x-long-dogecoin-token,3X Long Dogecoin Token,crypto,CG:3x-long-dogecoin-token,3x-long-dogecoin-token,DOGEBULL,micro_alt
CG:3x-long-dragon-index-token,3X Long Dragon Index Token,crypto,CG:3x-long-dragon-index-token,3x-long-dragon-index-token,DRGNBULL,micro_alt
CG:3x-long-eos-token,3X Long EOS Token,crypto,CG:3x-long-eos-token,3x-long-eos-token,EOSBULL,micro_alt
CG:3x-long-ethereum-classic-token,3X Long Ethereum Classic Token,crypto,CG:3x-long-ethereum-classic-token,3x-long-ethereum-classic-token,ETCBULL,micro_alt
CG:3x-long-ethereum-token,3X Long Ethereum Token,crypto,CG:3x-long-ethereum-token,3x-long-ethereum-token,ETHBULL,micro_alt
CG:3x-long-exchange-token-index-token,3X Long Exchange Token Index Token,crypto,CG:3x-long-exchange-token-index-token,3x-long-exchange-token-index-token,EXCHBULL,micro_alt
CG:3x-long-huobi-token-token,3X Long Huobi Token Token,crypto,CG:3x-long-huobi-token-token,3x-long-huobi-token-token,HTBULL,micro_alt
CG:3x-long-leo-token,3X Long LEO Token,crypto,CG:3x-long-leo-token,3x-long-leo-token,LEOBULL,micro_alt
CG:3x-long-litecoin-token,3X Long Litecoin Token,crypto,CG:3x-long-litecoin-token,3x-long-litecoin-token,LTCBULL,micro_alt
CG:3x-long-matic-token,3X Long Matic Token,crypto,CG:3x-long-matic-token,3x-long-matic-token,MATICBULL,micro_alt
CG:3x-long-midcap-index-token,3X Long Midcap Index Token,crypto,CG:3x-long-midcap-index-token,3x-long-midcap-index-token,MIDBULL,micro_alt
CG:3x-long-okb-token,3X Long OKB Token,crypto,CG:3x-long-okb-token,3x-long-okb-token,OKBBULL,micro_alt
CG:3x-long-pax-gold-token,3X Long PAX Gold Token,crypto,CG:3x-long-pax-gold-token,3x-long-pax-gold-token,PAXGBULL,micro_alt
CG:3x-long-shitcoin-index-token,3X Long Shitcoin Index Token,crypto,CG:3x-long-shitcoin-index-token,3x-long-shitcoin-index-token,BULLSHIT,micro_alt
CG:3x-long-tether-token,3X Long Tether Token,crypto,CG:3x-long-tether-token,3x-long-tether-token,USDTBULL,micro_alt
CG:3x-long-tezos-token,3X Long Tezos Token,crypto,CG:3x-long-tezos-token,3x-long-tezos-token,XTZBULL,micro_alt
CG:3x-long-tomochain-token,3X Long TomoChain Token,crypto,CG:3x-long-tomochain-token,3x-long-tomochain-token,TOMOBULL,micro_alt
CG:3x-long-trx-token,3X Long TRX Token,crypto,CG:3x-long-trx-token,3x-long-trx-token,TRXBULL,micro_alt
CG:3x-long-xrp-token,3X Long XRP Token,crypto,CG:3x-long-xrp-token,3x-long-xrp-token,XRPBULL,micro_alt
CG:3x-short-algorand-token,3X Short Algorand Token,crypto,CG:3x-short-algorand-token,3x-short-algorand-token,ALGOBEAR,micro_alt
CG:3x-short-altcoin-index-token,3X Short Altcoin Index Token,crypto,CG:3x-short-altcoin-index-token,3x-short-altcoin-index-token,ALTBEAR,micro_alt
CG:3x-short-bilira-token,3X Short BiLira Token,crypto,CG:3x-short-bilira-token,3x-short-bilira-token,TRYBBEAR,micro_alt
CG:3x-short-bitcoin-cash-token,3X Short Bitcoin Cash Token,crypto,CG:3x-short-bitcoin-cash-token,3x-short-bitcoin-cash-token,BCHBEAR,micro_alt
CG:3x-short-bitcoin-sv-token,3X Short Bitcoin SV Token,crypto,CG:3x-short-bitcoin-sv-token,3x-short-bitcoin-sv-token,BSVBEAR,micro_alt
CG:3x-short-bitcoin-token,3X Short Bitcoin Token,crypto,CG:3x-short-bitcoin-token,3x-short-bitcoin-token,BEAR,micro_alt
CG:3x-short-bitmax-token-token,3X Short BitMax Token Token,crypto,CG:3x-short-bitmax-token-token,3x-short-bitmax-token-token,BTMXBEAR,micro_alt
CG:3x-short-bnb-token,3X Short BNB Token,crypto,CG:3x-short-bnb-token,3x-short-bnb-token,BNBBEAR,micro_alt
CG:3x-short-cardano-token,3X Short Cardano Token,crypto,CG:3x-short-cardano-token,3x-short-cardano-token,ADABEAR,micro_alt
CG:3x-short-chainlink-token,3X Short Chainlink Token,crypto,CG:3x-short-chainlink-token,3x-short-chainlink-token,LINKBEAR,micro_alt
CG:3x-short-cosmos-token,3X Short Cosmos Token,crypto,CG:3x-short-cosmos-token,3x-short-cosmos-token,ATOMBEAR,micro_alt
CG:3x-short-dogecoin-token,3X Short Dogecoin Token,crypto,CG:3x-short-dogecoin-token,3x-short-dogecoin-token,DOGEBEAR,micro_alt
CG:3x-short-dragon-index-token,3X Short Dragon Index Token,crypto,CG:3x-short-dragon-index-token,3x-short-dragon-index-token,DRGNBEAR,micro_alt
CG:3x-short-eos-token,3X Short EOS Token,crypto,CG:3x-short-eos-token,3x-short-eos-token,EOSBEAR,micro_alt
CG:3x-short-ethereum-classic-token,3X Short Ethereum Classic Token,crypto,CG:3x-short-ethereum-classic-token,3x-short-ethereum-classic-token,ETCBEAR,micro_alt
CG:3x-short-ethereum-token,3X Short Ethereum Token,crypto,CG:3x-short-ethereum-token,3x-short-ethereum-token,ETHBEAR,micro_alt
CG:3x-short-exchange-token-index-token,3X Short Exchange Token Index Token,crypto,CG:3x-short-exchange-token-index-token,3x-short-exchange-token-index-token,EXCHBEAR,micro_alt
CG:3x-short-huobi-token-token,3X Short Huobi Token Token,crypto,CG:3x-short-huobi-token-token,3x-short-huobi-token-token,HTBEAR,micro_alt
CG:3x-short-leo-token,3X Short LEO Token,crypto,CG:3x-short-leo-token,3x-short-leo-token,LEOBEAR,micro_alt
CG:3x-short-litecoin-token,3X Short Litecoin Token,crypto,CG:3x-short-litecoin-token,3x-short-litecoin-token,LTCBEAR,micro_alt
CG:3x-short-matic-token,3X Short Matic Token,crypto,CG:3x-short-matic-token,3x-short-matic-token,MATICBEAR,micro_alt
CG:3x-short-midcap-index-token,3X Short Midcap Index Token,crypto,CG:3x-short-midcap-index-token,3x-short-midcap-index-token,MIDBEAR,micro_alt
CG:3x-short-okb-token,3X Short OKB Token,crypto,CG:3x-short-okb-token,3x-short-okb-token,OKBBEAR,micro_alt
CG:3x-short-pax-gold-token,3X Short PAX Gold Token,crypto,CG:3x-short-pax-gold-token,3x-short-pax-gold-token,PAXGBEAR,micro_alt
CG:3x-short-shitcoin-index-token,3X Short Shitcoin Index Token,crypto,CG:3x-short-shitcoin-index-token,3x-short-shitcoin-index-token,BEARSHIT,micro_alt
CG:3x-short-tether-token,3X Short Tether Token,crypto,CG:3x-short-tether-token,3x-short-tether-token,USDTBEAR,micro_alt
CG:3x-short-tezos-token,3X Short Tezos Token,crypto,CG:3x-short-tezos-token,3x-short-tezos-token,XTZBEAR,micro_alt
CG:3x-short-tomochain-token,3X Short TomoChain Token,crypto,CG:3x-short-tomochain-token,3x-short-tomochain-token,TOMOBEAR,micro_alt
CG:3x-short-trx-token,3X Short TRX Token,crypto,CG:3x-short-trx-token,3x-short-trx-token,TRXBEAR,micro_alt
CG:3x-short-xrp-token,3X Short XRP Token,crypto,CG:3x-short-xrp-token,3x-short-xrp-token,XRPBEAR,micro_alt
CG:404,404,crypto,CG:404,404,404,micro_alt
CG:42-coin,42-coin,crypto,CG:42-coin,42-coin,42,micro_alt
CG:4a-coin,4A Coin,crypto,CG:4a-coin,4a-coin,4AC,micro_alt
CG:4hiphop,4Hiphop,crypto,CG:4hiphop,4hiphop,HIPHOP,micro_alt
CG:4new,4New,crypto,CG:4new,4new,KWATT,micro_alt
CG:4xbit,4xBit,crypto,CG:4xbit,4xbit,4XB,micro_alt
CG:502-bad-gateway-token,502 Bad Gateway Token,crypto,CG:502-bad-gateway-token,502-bad-gateway-token,Z502,micro_alt
CG:520,520,crypto,CG:520,520,520,micro_alt
CG:6ix9ine-chain,6ix9ine Chain,crypto,CG:6ix9ine-chain,6ix9ine-chain,69C,micro_alt
CG:777-bingo,777.Bingo,crypto,CG:777-bingo,777-bingo,777,micro_alt
CG:7chain,7Chain,crypto,CG:7chain,7chain,VII,micro_alt
CG:7eleven,7ELEVEN,crypto,CG:7eleven,7eleven,7E,micro_alt
CG:808coin,808Coin,crypto,CG:808coin,808coin,808,micro_alt
CG:808ta-token,808TA Token,crypto,CG:808ta-token,808ta-token,808TA,micro_alt
CG:8848-chain,8848 Chain,crypto,CG:8848-chain,8848-chain,VEC,micro_alt
CG:888tron,888tron,crypto,CG:888tron,888tron,888,micro_alt
CG:8bit,8Bit,crypto,CG:8bit,8bit,8BIT,micro_alt
CG:8x8-protocol,8X8 Protocol,crypto,CG:8x8-protocol,8x8-protocol,EXE,micro_alt
CG:999,999,crypto,CG:999,999,999,micro_alt
CG:99masternodes,99Masternodes,crypto,CG:99masternodes,99masternodes,NMN,micro_alt
CG:9coin-token,9Coin Token,crypto,CG:9coin-token,9coin-token,T9,micro_alt
CG:a1-coin,A1 Coin,crypto,CG:a1-coin,a1-coin,A1,micro_alt
CG:aaa-coin,AAA COIN,crypto,CG:aaa-coin,aaa-coin,AAA,micro_alt
CG:aave-dai,Aave DAI,crypto,CG:aave-dai,aave-dai,ADAI,defi
CG:aax-token,AAX Token,crypto,CG:aax-token,aax-token,AAB,micro_alt
CG:abacoin,ABACOIN,crypto,CG:abacoin,abacoin,ABA,micro_alt
CG:abbvie,Abbvie,crypto,CG:abbvie,abbvie,ABBV.CX,micro_alt
CG:abc-chain,ABC Chain,crypto,CG:abc-chain,abc-chain,ABC,micro_alt
CG:abcc-token,ABCC Token,crypto,CG:abcc-token,abcc-token,AT,micro_alt
CG:abele-trust,Abele Trust,crypto,CG:abele-trust,abele-trust,BANK,micro_alt
CG:abf-comva,ABF COMVA,crypto,CG:abf-comva,abf-comva,ABF,micro_alt
CG:abitshadow-token,Abitshadow Token,crypto,CG:abitshadow-token,abitshadow-token,ABST,micro_alt
CG:able,ABLE X Token,crypto,CG:able,able,ABLX,micro_alt
CG:able-dollar-x-token,ABLE Dollar X Token,crypto,CG:able-dollar-x-token,able-dollar-x-token,ABLD,micro_alt
CG:abo,ABO,crypto,CG:abo,abo,ABO,micro_alt
CG:abs-chain,ABS Chain,crypto,CG:abs-chain,abs-chain,ABS,micro_alt
CG:absolute,Absolute,crypto,CG:absolute,absolute,ABS,micro_alt
CG:abulaba,Abulaba,crypto,CG:abulaba,abulaba,AAA,micro_alt
CG:ac3,AC3,crypto,CG:ac3,ac3,AC3,micro_alt
CG:academy token,Academy Token,crypto,CG:academy token,academy token,ACAD,micro_alt
CG:acash,Acash,crypto,CG:acash,acash,ACH,micro_alt
CG:acash-coin,Acash Coin,crypto,CG:acash-coin,acash-coin,ACA,micro_alt
CG:accel,Accel,crypto,CG:accel,accel,ACCE,micro_alt
CG:accelerator-network,Accelerator Network,crypto,CG:accelerator-network,accelerator-network,ACC,micro_alt
CG:acchain,ACChain,crypto,CG:acchain,acchain,ACC,micro_alt
CG:accolade,Accolade,crypto,CG:accolade,accolade,ACCO,micro_alt
CG:accord,Accord,crypto,CG:accord,accord,ARD,micro_alt
CG:ace-casino,Ace Casino Exchange,crypto,CG:ace-casino,ace-casino,ACE,micro_alt
CG:ace-wins,AceWins,crypto,CG:ace-wins,ace-wins,ACW,micro_alt
CG:aced,Aced,crypto,CG:aced,aced,ACED,micro_alt
CG:acepay,ACEPAY,crypto,CG:acepay,acepay,ACEPAY,micro_alt
CG:achain,Achain,crypto,CG:achain,achain,ACT,micro_alt
CG:acoin,Acoin,crypto,CG:acoin,acoin,ACOIN,micro_alt
CG:acreage-coin,Acreage Coin,crypto,CG:acreage-coin,acreage-coin,ACR,micro_alt
CG:acrecoin,Acrecoin,crypto,CG:acrecoin,acrecoin,ACRE,micro_alt
CG:acryl,Acryl,crypto,CG:acryl,acryl,ACRYL,micro_alt
CG:actinium,Actinium,crypto,CG:actinium,actinium,ACM,micro_alt
CG:action-coin,Action Coin,crypto,CG:action-coin,action-coin,ACTN,micro_alt
CG:activeightcoin,ActivEightCoin,crypto,CG:activeightcoin,activeightcoin,ACTIV,micro_alt
CG:activision-blizzard-inc,Activision Blizzard Inc,crypto,CG:activision-blizzard-inc,activision-blizzard-inc,ATVI.CX,micro_alt
CG:acute-angle-cloud,Acute Angle Cloud,crypto,CG:acute-angle-cloud,acute-angle-cloud,AAC,micro_alt
CG:ad-chain,Ad Chain,crypto,CG:ad-chain,ad-chain,GYB,micro_alt
CG:ad-flex-token,Ad Flex Token,crypto,CG:ad-flex-token,ad-flex-token,ADF,micro_alt
CG:ad-pay-token,Ad Pay Token,crypto,CG:ad-pay-token,ad-pay-token,APT,l1l2
CG:adab-solutions,ADAB Solutions,crypto,CG:adab-solutions,adab-solutions,ADAB,micro_alt
CG:adamant-messenger,ADAMANT Messenger,crypto,CG:adamant-messenger,adamant-messenger,ADM,micro_alt
CG:adaptive-biotechnologies-corporation,Adaptive Biotechnologies Corporation,crypto,CG:adaptive-biotechnologies-corporation,adaptive-biotechnologies-corporation,ADPT.CX,micro_alt
CG:adast,ADAST,crypto,CG:adast,adast,ADAST,micro_alt
CG:adbank,adbank,crypto,CG:adbank,adbank,ADB,micro_alt
CG:adcoin,AdCoin,crypto,CG:adcoin,adcoin,ACC,micro_alt
CG:add-token,ADD Token,crypto,CG:add-token,add-token,ADD,micro_alt
CG:address,Address,crypto,CG:address,address,ADDR,micro_alt
CG:adelphoi,Adelphoi,crypto,CG:adelphoi,adelphoi,ADL,micro_alt
CG:adeptio,Adeptio,crypto,CG:adeptio,adeptio,ADE,micro_alt
CG:adevplus,AdevPlus,crypto,CG:adevplus,adevplus,ADVP,micro_alt
CG:adevplus2-0,AdevPlus2.0,crypto,CG:adevplus2-0,adevplus2-0,ADV2,micro_alt
CG:adex,AdEx,crypto,CG:adex,adex,ADX,micro_alt
CG:adhive,AdHive,crypto,CG:adhive,adhive,ADH,micro_alt
CG:adidas-ag,Adidas AG,crypto,CG:adidas-ag,adidas-ag,ADS.CX,micro_alt
CG:adient,Adient,crypto,CG:adient,adient,ADNT.CX,micro_alt
CG:adioman,ADIOMAN,crypto,CG:adioman,adioman,ADMN,micro_alt
CG:adirondack,Adirondack,crypto,CG:adirondack,adirondack,ADR,micro_alt
CG:aditus,Aditus,crypto,CG:aditus,aditus,ADI,micro_alt
CG:adler,Adler,crypto,CG:adler,adler,ADL,micro_alt
CG:adm-token,ADM Token,crypto,CG:adm-token,adm-token,ADM,micro_alt
CG:adobe-systems-inc,Adobe Systems Inc,crypto,CG:adobe-systems-inc,adobe-systems-inc,ADBE.CX,micro_alt
CG:adon,Adon,crypto,CG:adon,adon,ADON,micro_alt
CG:adrenaline,Adrenaline,crypto,CG:adrenaline,adrenaline,ADN,micro_alt
CG:adrenaline-ai,Adrenaline AI,crypto,CG:adrenaline-ai,adrenaline-ai,ARAI,micro_alt
CG:adrenaline-chain,Adrenaline Chain,crypto,CG:adrenaline-chain,adrenaline-chain,ADRX,micro_alt
CG:adsbywifi,AdsByWiFi,crypto,CG:adsbywifi,adsbywifi,WADS,meme_beta
CG:adshares,Adshares,crypto,CG:adshares,adshares,ADS,micro_alt
CG:adtoken,adToken,crypto,CG:adtoken,adtoken,ADT,micro_alt
CG:adultchain,AdultChain,crypto,CG:adultchain,adultchain,XXX,micro_alt
